angle_degrees count
0.5 0
1.5 0
2.5 0
3.5 0
4.5 0
5.5 0
6.5 0
7.5 0
8.5 0
9.5 0
10.5 0
11.5 0
12.5 0
13.5 0
14.5 0
15.5 0
16.5 0
17.5 0
18.5 0
19.5 0
20.5 0
21.5 0
22.5 0
23.5 0
24.5 0
25.5 0
26.5 0
27.5 0
28.5 0
29.5 0
30.5 0
31.5 0
32.5 0
33.5 0
34.5 0
35.5 0
36.5 0
37.5 0
38.5 0
39.5 0
40.5 0
41.5 0
42.5 0
43.5 0
44.5 0
45.5 0
46.5 0
47.5 0
48.5 0
49.5 0
50.5 0
51.5 0
52.5 0
53.5 0
54.5 0
55.5 0
56.5 0
57.5 0
58.5 0
59.5 0
60.5 0
61.5 0
62.5 0
63.5 0
64.5 0
65.5 0
66.5 0
67.5 0
68.5 0
69.5 1
70.5 2
71.5 2
72.5 8
73.5 7
74.5 10
75.5 9
76.5 9
77.5 18
78.5 19
79.5 4
80.5 5
81.5 4
82.5 6
83.5 6
84.5 12
85.5 10
86.5 9
87.5 15
88.5 14
89.5 22
90.5 41
91.5 33
92.5 29
93.5 24
94.5 22
95.5 27
96.5 38
97.5 22
98.5 20
99.5 52
100.5 61
101.5 56
102.5 48
103.5 48
104.5 74
105.5 63
106.5 65
107.5 64
108.5 58
109.5 49
110.5 42
111.5 42
112.5 54
113.5 54
114.5 61
115.5 56
116.5 41
117.5 51
118.5 48
119.5 67
120.5 59
121.5 58
122.5 57
123.5 84
124.5 49
125.5 54
126.5 51
127.5 77
128.5 46
129.5 46
130.5 50
131.5 39
132.5 42
133.5 38
134.5 35
135.5 24
136.5 24
137.5 29
138.5 20
139.5 26
140.5 16
141.5 27
142.5 14
143.5 19
144.5 18
145.5 17
146.5 10
147.5 23
148.5 16
149.5 14
150.5 12
151.5 17
152.5 11
153.5 5
154.5 2
155.5 1
156.5 1
157.5 1
158.5 3
159.5 1
160.5 0
161.5 2
162.5 1
163.5 5
164.5 0
165.5 1
166.5 0
167.5 3
168.5 0
169.5 1
170.5 0
171.5 0
172.5 1
173.5 2
174.5 0
175.5 2
176.5 1
177.5 2
178.5 1
179.5 1
