trajectory origin unit_identifier
49 oxygen_bridge C82-O238-C85
50 oxygen_bridge C82-O238-C85
51 oxygen_bridge C82-O238-C85
52 oxygen_bridge C82-O238-C85
53 oxygen_bridge C82-O238-C85
54 oxygen_bridge C82-O238-C85
55 oxygen_bridge C82-O238-C85
56 oxygen_bridge C82-O238-C85
57 oxygen_bridge C82-O238-C85
58 oxygen_bridge C82-O238-C85
59 oxygen_bridge C82-O238-C85
60 oxygen_bridge C82-O238-C85
61 oxygen_bridge C82-O238-C85
101 oxygen_bridge C82-O238-C85
102 oxygen_bridge C82-O238-C85
103 oxygen_bridge C82-O238-C85
104 oxygen_bridge C82-O238-C85
105 oxygen_bridge C82-O238-C85
106 oxygen_bridge C82-O238-C85
107 oxygen_bridge C82-O238-C85
108 oxygen_bridge C82-O238-C85
109 oxygen_bridge C82-O238-C85
110 oxygen_bridge C82-O238-C85
280 oxygen_bridge C52-O236-C99
281 oxygen_bridge C52-O236-C99
322 oxygen_bridge C52-O236-C99
323 oxygen_bridge C52-O236-C99
324 oxygen_bridge C52-O236-C99
325 oxygen_bridge C52-O236-C99
343 oxygen_bridge C52-O236-C99
344 oxygen_bridge C52-O236-C99
345 oxygen_bridge C52-O236-C99
346 oxygen_bridge C52-O236-C99
347 oxygen_bridge C52-O236-C99
348 oxygen_bridge C52-O236-C99
358 oxygen_bridge C82-O233-C85
359 oxygen_bridge C82-O233-C85
360 oxygen_bridge C82-O233-C85
361 oxygen_bridge C82-O233-C85
362 oxygen_bridge C82-O233-C85
363 oxygen_bridge C82-O233-C85
384 oxygen_bridge C82-O233-C85
385 oxygen_bridge C82-O233-C85
386 oxygen_bridge C82-O233-C85
430 oxygen_bridge C82-O233-C85
431 oxygen_bridge C82-O233-C85
432 oxygen_bridge C82-O233-C85
433 oxygen_bridge C82-O233-C85
434 oxygen_bridge C82-O233-C85
435 oxygen_bridge C82-O233-C85
436 oxygen_bridge C82-O233-C85
437 oxygen_bridge C82-O233-C85
438 oxygen_bridge C82-O233-C85
439 oxygen_bridge C82-O233-C85
468 oxygen_bridge C82-O233-C85
469 oxygen_bridge C82-O233-C85
470 oxygen_bridge C82-O233-C85
471 oxygen_bridge C82-O233-C85
499 oxygen_bridge C82-O233-C85
500 oxygen_bridge C82-O233-C85
501 oxygen_bridge C82-O233-C85
516 oxygen_bridge C82-O233-C85
517 oxygen_bridge C82-O233-C85
518 oxygen_bridge C82-O233-C85
519 oxygen_bridge C82-O233-C85
520 oxygen_bridge C82-O233-C85
521 oxygen_bridge C82-O233-C85
540 oxygen_bridge C82-O233-C85
541 oxygen_bridge C82-O233-C85
542 oxygen_bridge C82-O233-C85
543 oxygen_bridge C82-O233-C85
544 oxygen_bridge C82-O233-C85
545 oxygen_bridge C82-O233-C85
546 oxygen_bridge C82-O233-C85
547 oxygen_bridge C82-O233-C85
548 oxygen_bridge C82-O233-C85
549 oxygen_bridge C82-O233-C85
550 oxygen_bridge C82-O233-C85
551 oxygen_bridge C82-O233-C85
552 oxygen_bridge C82-O233-C85
553 oxygen_bridge C82-O233-C85
554 oxygen_bridge C82-O233-C85
595 oxygen_bridge C82-O233-C85
596 oxygen_bridge C82-O233-C85
603 oxygen_bridge C52-O206-C99
604 oxygen_bridge C52-O206-C99
605 oxygen_bridge C52-O206-C99
606 oxygen_bridge C52-O206-C99
607 oxygen_bridge C52-O206-C99
614 oxygen_bridge C82-O233-C85
615 oxygen_bridge C82-O233-C85
616 oxygen_bridge C82-O233-C85
617 oxygen_bridge C82-O233-C85
618 oxygen_bridge C82-O233-C85
619 oxygen_bridge C82-O233-C85
620 oxygen_bridge C82-O233-C85
621 oxygen_bridge C82-O233-C85
622 oxygen_bridge C82-O233-C85
623 oxygen_bridge C82-O233-C85
663 oxygen_bridge C82-O233-C85
664 oxygen_bridge C82-O233-C85
665 oxygen_bridge C82-O233-C85
666 oxygen_bridge C82-O233-C85
667 oxygen_bridge C82-O233-C85
668 oxygen_bridge C82-O233-C85
669 oxygen_bridge C82-O233-C85
709 oxygen_bridge C82-O233-C85
