angle_degrees count
0.5 0
1.5 0
2.5 0
3.5 0
4.5 0
5.5 0
6.5 0
7.5 0
8.5 0
9.5 0
10.5 0
11.5 0
12.5 0
13.5 0
14.5 0
15.5 0
16.5 0
17.5 0
18.5 0
19.5 0
20.5 0
21.5 0
22.5 0
23.5 0
24.5 0
25.5 0
26.5 0
27.5 0
28.5 0
29.5 0
30.5 0
31.5 0
32.5 0
33.5 0
34.5 0
35.5 0
36.5 0
37.5 0
38.5 0
39.5 0
40.5 0
41.5 0
42.5 0
43.5 0
44.5 0
45.5 0
46.5 0
47.5 0
48.5 0
49.5 0
50.5 0
51.5 0
52.5 0
53.5 0
54.5 0
55.5 0
56.5 0
57.5 0
58.5 0
59.5 0
60.5 1
61.5 4
62.5 5
63.5 5
64.5 6
65.5 13
66.5 10
67.5 3
68.5 10
69.5 14
70.5 7
71.5 15
72.5 29
73.5 35
74.5 45
75.5 60
76.5 70
77.5 98
78.5 124
79.5 142
80.5 147
81.5 130
82.5 137
83.5 123
84.5 117
85.5 131
86.5 121
87.5 137
88.5 143
89.5 158
90.5 130
91.5 188
92.5 169
93.5 185
94.5 216
95.5 215
96.5 270
97.5 291
98.5 323
99.5 373
100.5 462
101.5 597
102.5 742
103.5 914
104.5 1152
105.5 1495
106.5 1866
107.5 2537
108.5 2972
109.5 3382
110.5 4041
111.5 4699
112.5 5378
113.5 5984
114.5 6496
115.5 7005
116.5 7308
117.5 7635
118.5 7632
119.5 7454
120.5 7246
121.5 7126
122.5 6878
123.5 6426
124.5 5841
125.5 5320
126.5 4767
127.5 4224
128.5 3744
129.5 3094
130.5 2690
131.5 2270
132.5 1859
133.5 1452
134.5 1112
135.5 850
136.5 793
137.5 535
138.5 445
139.5 335
140.5 230
141.5 170
142.5 112
143.5 93
144.5 97
145.5 87
146.5 74
147.5 50
148.5 48
149.5 33
150.5 23
151.5 13
152.5 16
153.5 20
154.5 38
155.5 33
156.5 30
157.5 63
158.5 39
159.5 39
160.5 45
161.5 38
162.5 39
163.5 62
164.5 62
165.5 62
166.5 49
167.5 45
168.5 44
169.5 32
170.5 25
171.5 29
172.5 14
173.5 17
174.5 19
175.5 18
176.5 16
177.5 13
178.5 2
179.5 2
