angle_degrees count
0.5 0
1.5 0
2.5 0
3.5 0
4.5 0
5.5 0
6.5 0
7.5 0
8.5 0
9.5 0
10.5 0
11.5 0
12.5 0
13.5 0
14.5 0
15.5 0
16.5 0
17.5 0
18.5 0
19.5 0
20.5 0
21.5 0
22.5 0
23.5 0
24.5 0
25.5 0
26.5 0
27.5 0
28.5 0
29.5 0
30.5 0
31.5 0
32.5 0
33.5 0
34.5 0
35.5 0
36.5 0
37.5 0
38.5 0
39.5 0
40.5 0
41.5 0
42.5 0
43.5 0
44.5 0
45.5 0
46.5 0
47.5 0
48.5 0
49.5 0
50.5 0
51.5 0
52.5 0
53.5 0
54.5 0
55.5 0
56.5 0
57.5 0
58.5 0
59.5 0
60.5 0
61.5 0
62.5 0
63.5 0
64.5 0
65.5 0
66.5 4
67.5 2
68.5 1
69.5 1
70.5 0
71.5 2
72.5 3
73.5 3
74.5 2
75.5 3
76.5 1
77.5 1
78.5 5
79.5 8
80.5 15
81.5 9
82.5 12
83.5 10
84.5 13
85.5 6
86.5 5
87.5 8
88.5 8
89.5 16
90.5 22
91.5 33
92.5 33
93.5 62
94.5 64
95.5 76
96.5 113
97.5 140
98.5 156
99.5 221
100.5 324
101.5 469
102.5 592
103.5 797
104.5 1016
105.5 1340
106.5 1717
107.5 2384
108.5 2803
109.5 3217
110.5 3843
111.5 4510
112.5 5167
113.5 5748
114.5 6267
115.5 6751
116.5 7038
117.5 7382
118.5 7385
119.5 7202
120.5 7001
121.5 6918
122.5 6652
123.5 6210
124.5 5667
125.5 5163
126.5 4602
127.5 4117
128.5 3637
129.5 3010
130.5 2614
131.5 2190
132.5 1814
133.5 1402
134.5 1089
135.5 817
136.5 770
137.5 503
138.5 419
139.5 310
140.5 219
141.5 158
142.5 104
143.5 84
144.5 84
145.5 78
146.5 60
147.5 32
148.5 24
149.5 22
150.5 10
151.5 7
152.5 11
153.5 10
154.5 14
155.5 14
156.5 9
157.5 19
158.5 8
159.5 8
160.5 10
161.5 7
162.5 7
163.5 9
164.5 19
165.5 19
166.5 11
167.5 11
168.5 7
169.5 4
170.5 3
171.5 8
172.5 1
173.5 2
174.5 0
175.5 1
176.5 1
177.5 1
178.5 1
179.5 1
