distance_angstrom count
0.005 0
0.015 0
0.025 0
0.035 0
0.045 0
0.055 0
0.065 0
0.075 0
0.085 0
0.095 0
0.105 0
0.116 0
0.126 0
0.136 0
0.146 0
0.156 0
0.166 0
0.176 0
0.186 0
0.196 0
0.206 0
0.216 0
0.226 0
0.236 0
0.246 0
0.256 0
0.266 0
0.276 0
0.286 0
0.296 0
0.306 0
0.316 0
0.326 0
0.336 0
0.347 0
0.357 0
0.367 0
0.377 0
0.387 0
0.397 0
0.407 0
0.417 0
0.427 0
0.437 0
0.447 0
0.457 0
0.467 0
0.477 0
0.487 0
0.497 0
0.507 0
0.517 0
0.527 0
0.537 0
0.547 0
0.557 0
0.567 0
0.578 0
0.588 0
0.598 0
0.608 0
0.618 0
0.628 0
0.638 0
0.648 0
0.658 0
0.668 0
0.678 0
0.688 0
0.698 0
0.708 0
0.718 0
0.728 0
0.738 0
0.748 0
0.758 0
0.768 0
0.778 0
0.788 0
0.798 0
0.809 0
0.819 0
0.829 0
0.839 0
0.849 0
0.859 0
0.869 0
0.879 0
0.889 0
0.899 0
0.909 0
0.919 0
0.929 0
0.939 0
0.949 0
0.959 0
0.969 0
0.979 0
0.989 0
0.999 0
1.009 0
1.019 0
1.029 0
1.040 0
1.050 0
1.060 0
1.070 0
1.080 0
1.090 5
1.100 5
1.110 15
1.120 33
1.130 83
1.140 175
1.150 306
1.160 533
1.170 747
1.180 1247
1.190 1730
1.200 2467
1.210 3243
1.220 4138
1.230 4806
1.240 5608
1.250 6386
1.260 6975
1.271 7713
1.281 8040
1.291 8111
1.301 8124
1.311 8025
1.321 7647
1.331 7348
1.341 6868
1.351 6206
1.361 5516
1.371 4914
1.381 4140
1.391 3605
1.401 3068
1.411 2570
1.421 2231
1.431 1860
1.441 1513
1.451 1281
1.461 993
1.471 736
1.481 658
1.491 530
1.502 423
1.512 334
1.522 306
1.532 190
1.542 182
1.552 131
1.562 127
1.572 87
1.582 70
1.592 71
1.602 45
1.612 44
1.622 22
1.632 25
1.642 43
1.652 53
1.662 29
1.672 15
1.682 18
1.692 16
1.702 14
1.712 14
1.722 20
1.733 23
1.743 13
1.753 12
1.763 15
1.773 9
1.783 8
1.793 11
1.803 13
1.813 10
1.823 12
1.833 10
1.843 7
1.853 9
1.863 4
1.873 7
1.883 6
1.893 5
1.903 5
1.913 6
1.923 13
1.933 12
1.943 12
1.953 8
1.964 5
1.974 5
1.984 3
1.994 6
2.004 4
2.014 5
2.024 9
2.034 7
2.044 10
2.054 7
2.064 4
2.074 9
2.084 11
2.094 5
2.104 7
2.114 5
2.124 5
2.134 6
2.144 4
2.154 4
2.164 12
2.174 14
2.184 14
2.195 10
2.205 10
2.215 11
2.225 15
2.235 16
2.245 16
2.255 7
2.265 14
2.275 10
2.285 13
2.295 22
